,IA,IB,IC,IZ,eA,eB,eC
417,2.09,6.96,-10.22,-1.17,0.96,-0.65,-0.1
418,2.09,5.32,-9.12,-1.71,0.93,-0.7,-0.02
419,4.31,2.58,-8.57,-1.67,0.9,-0.76,0.06
420,7.09,1.49,-9.67,-1.09,0.87,-0.81,0.15
421,9.31,0.94,-11.32,-1.06,0.83,-0.86,0.23
422,10.98,0.39,-12.41,-1.04,0.8,-0.9,0.3
423,11.54,1.49,-15.16,-2.14,0.75,-0.93,0.37
424,10.98,0.94,-11.86,0.06,0.7,-0.95,0.44
425,9.87,-0.15,-10.77,-1.05,0.65,-0.97,0.5
426,9.31,-1.8,-9.67,-2.15,0.59,-0.99,0.57
427,9.87,-2.89,-7.47,-0.49,0.53,-1.01,0.64
428,11.54,-2.34,-10.22,-1.02,0.47,-1.02,0.7
429,12.65,-0.7,-11.32,0.63,0.41,-1.02,0.75
430,10.98,1.49,-12.96,-0.5,0.34,-1.01,0.8
431,7.64,2.04,-11.86,-2.18,0.28,-0.99,0.84
432,5.98,2.58,-10.22,-1.66,0.2,-0.97,0.87
433,6.53,-0.15,-7.47,-1.09,0.11,-0.94,0.91
434,8.2,-3.98,-4.17,0.05,0.03,-0.9,0.95
435,10.42,-6.72,-4.72,-1.02,-0.05,-0.87,0.97
436,12.65,-8.91,-4.72,-0.98,-0.11,-0.83,0.99
437,13.2,-9.46,-4.72,-0.97,-0.18,-0.79,1.0
438,12.09,-8.36,-3.62,0.11,-0.25,-0.74,1.0
439,7.64,-7.27,-2.52,-2.14,-0.32,-0.69,1.0
440,5.42,-6.72,0.23,-1.07,-0.39,-0.63,1.0
441,4.31,-7.27,1.33,-1.63,-0.46,-0.56,0.99
442,7.09,-8.91,1.88,0.06,-0.53,-0.5,0.99
443,8.76,-8.36,0.78,1.17,-0.59,-0.44,0.97
444,9.31,-6.72,-2.52,0.07,-0.64,-0.37,0.94
445,7.64,-5.63,-2.52,-0.5,-0.68,-0.3,0.91
446,3.75,-3.44,-0.87,-0.55,-0.73,-0.22,0.86
447,0.42,-2.34,1.33,-0.59,-0.79,-0.13,0.8
448,-2.36,-3.44,4.63,-1.17,-0.84,-0.05,0.76
449,-2.36,-6.17,7.92,-0.61,-0.88,0.03,0.71
450,-1.25,-8.36,9.57,-0.04,-0.91,0.1,0.66
451,-1.8,-7.81,10.12,0.51,-0.93,0.17,0.6
452,-2.91,-3.98,6.82,-0.07,-0.94,0.24,0.53
453,-5.14,-1.25,5.17,-1.21,-0.96,0.32,0.46
454,-4.58,-0.15,8.47,3.74,-0.97,0.4,0.39
455,-5.69,-2.89,7.37,-1.21,-0.98,0.47,0.31
456,-4.58,-5.08,10.12,0.46,-0.98,0.54,0.25
457,-4.03,-5.63,11.77,2.12,-0.97,0.6,0.17
458,-1.25,-5.63,9.02,2.15,-0.96,0.65,0.1
459,-3.47,-4.53,9.02,1.02,-0.93,0.7,0.03
460,76.56,-42.83,13.42,47.14,-0.64,0.65,-0.06
461,144.91,-65.81,-64.08,15.02,-0.16,0.51,-0.42
462,166.59,-104.66,-95.96,-34.04,0.06,0.44,-0.56
463,163.81,-99.74,-67.93,-3.86,0.19,0.38,-0.6
464,128.8,-100.83,-41.55,-13.58,0.17,0.36,-0.55
465,107.68,-94.82,-22.86,-10.0,0.09,0.47,-0.55
466,162.14,-106.31,-67.93,-12.1,-0.01,0.55,-0.57
467,232.16,-164.85,-83.87,-16.56,-0.07,0.53,-0.47
468,293.85,-213.55,-96.51,-16.21,-0.02,0.49,-0.46
469,317.19,-245.84,-83.87,-12.51,0.08,0.41,-0.47
470,314.41,-256.78,-62.98,-5.35,0.15,0.35,-0.46
471,289.96,-257.33,-39.9,-7.26,0.14,0.33,-0.44
472,282.74,-278.12,-19.01,-14.39,0.09,0.35,-0.41
473,319.97,-312.59,-12.96,-5.59,0.03,0.38,-0.38
474,360.54,-354.72,-15.71,-9.9,0.03,0.38,-0.38
475,382.21,-387.56,0.78,-4.56,0.08,0.35,-0.4
476,376.1,-407.25,27.16,-3.99,0.13,0.32,-0.42
477,353.32,-422.03,62.89,-5.82,0.16,0.29,-0.42
478,343.87,-443.91,92.02,-8.03,0.14,0.27,-0.38
479,349.98,-468.54,111.81,-6.75,0.12,0.26,-0.34
480,360.54,-493.16,128.3,-4.32,0.13,0.26,-0.34
481,363.32,-515.05,149.19,-2.54,0.15,0.24,-0.35
482,345.53,-532.01,180.52,-5.96,0.18,0.21,-0.35
483,324.42,-543.5,216.8,-2.29,0.2,0.19,-0.34
484,299.96,-553.9,250.32,-3.61,0.2,0.17,-0.32
485,282.18,-566.48,280.56,-3.75,0.2,0.15,-0.3
486,271.07,-579.07,304.74,-3.26,0.21,0.13,-0.29
487,258.84,-587.82,326.73,-2.25,0.23,0.11,-0.28
488,233.83,-591.11,352.01,-5.26,0.25,0.08,-0.27
489,204.38,-585.63,378.4,-2.86,0.26,0.07,-0.26
490,169.92,-584.54,410.83,-3.79,0.27,0.05,-0.25
491,138.8,-580.16,437.76,-3.6,0.25,0.03,-0.22
492,112.12,-573.6,459.2,-2.27,0.25,0.01,-0.19
493,85.45,-567.03,478.98,-2.6,0.24,-0.01,-0.16
494,56.55,-553.9,495.47,-1.87,0.24,-0.03,-0.13
495,23.21,-537.48,511.42,-2.86,0.25,-0.05,-0.12
496,-11.81,-519.43,527.36,-3.88,0.25,-0.07,-0.1
497,-45.71,-498.63,543.3,-1.04,0.24,-0.08,-0.08
498,-77.38,-479.48,554.84,-2.03,0.22,-0.09,-0.06
499,-107.95,-457.59,561.98,-3.56,0.21,-0.1,-0.04
500,-136.29,-432.97,565.83,-3.43,0.21,-0.12,-0.02
501,-165.75,-407.8,568.58,-4.97,0.2,-0.13,0.0
502,-195.76,-380.99,567.48,-9.26,0.2,-0.15,0.01
503,-220.76,-356.37,563.08,-14.05,0.22,-0.18,0.03
504,-246.33,-330.65,560.88,-16.09,0.22,-0.2,0.04
505,-272.45,-302.74,560.34,-14.86,0.21,-0.21,0.06
506,-298.01,-272.1,553.74,-16.37,0.2,-0.21,0.07
507,-320.8,-240.91,547.14,-14.57,0.18,-0.21,0.08
508,-341.36,-210.82,536.7,-15.48,0.15,-0.2,0.09
509,-359.14,-181.82,525.71,-15.25,0.13,-0.19,0.1
510,-374.7,-151.72,511.96,-14.46,0.11,-0.19,0.11
511,-389.71,-118.89,494.38,-14.23,0.09,-0.18,0.12
512,-403.6,-87.15,475.69,-15.07,0.07,-0.17,0.12
513,-415.27,-55.97,455.35,-15.89,0.05,-0.17,0.13
514,-425.28,-25.87,436.11,-15.04,0.03,-0.16,0.13
515,-431.95,1.49,414.12,-16.33,0.02,-0.15,0.14
516,-435.28,28.85,389.39,-17.04,0.0,-0.14,0.14
517,-436.95,52.38,365.2,-19.37,-0.01,-0.14,0.15
518,-438.06,73.72,343.77,-20.58,-0.02,-0.15,0.17
519,-436.95,97.24,319.03,-20.67,-0.03,-0.14,0.18
520,-431.39,120.23,292.65,-18.52,-0.04,-0.14,0.18
521,-426.94,142.66,263.52,-20.77,-0.05,-0.12,0.18
522,-418.61,164.55,233.83,-20.23,-0.06,-0.11,0.17
523,-408.05,183.15,204.7,-20.2,-0.07,-0.09,0.16
524,-395.82,199.57,177.22,-19.04,-0.08,-0.07,0.14
525,-384.15,215.98,149.19,-18.98,-0.09,-0.06,0.13
526,-370.81,230.76,121.15,-18.9,-0.1,-0.05,0.13
527,-354.14,244.98,90.92,-18.24,-0.1,-0.04,0.12
528,-338.03,258.11,62.34,-17.57,-0.11,-0.02,0.12
529,-319.13,267.96,33.76,-17.41,-0.12,-0.01,0.11
530,-300.79,275.08,7.37,-18.34,-0.13,0.0,0.1
531,-284.67,281.1,-12.41,-15.99,-0.15,0.02,0.11
532,-266.89,284.38,-33.85,-16.36,-0.16,0.03,0.11
533,-244.66,287.11,-57.49,-15.03,-0.17,0.04,0.11
534,-220.21,287.66,-80.57,-13.12,-0.17,0.05,0.1
535,-196.31,286.02,-103.11,-13.4,-0.17,0.06,0.09
536,-175.19,281.64,-122.35,-15.9,-0.17,0.07,0.07
537,-151.85,276.17,-137.74,-13.42,-0.16,0.08,0.06
538,-128.51,265.77,-152.03,-14.77,-0.16,0.09,0.04
539,-104.61,254.83,-165.22,-15.0,-0.16,0.1,0.04
540,-78.49,243.34,-178.41,-13.57,-0.15,0.1,0.03
541,-52.93,230.76,-192.7,-14.88,-0.15,0.11,0.02
542,-31.26,219.26,-203.15,-15.14,-0.14,0.11,0.01
543,-11.25,206.68,-211.94,-16.51,-0.15,0.13,-0.01
544,2.64,197.92,-216.89,-16.32,-0.16,0.16,-0.02
545,22.65,182.6,-220.74,-15.48,-0.17,0.18,-0.03
546,43.77,163.45,-224.03,-16.81,-0.17,0.19,-0.04
547,66.55,142.66,-226.23,-17.02,-0.16,0.19,-0.05
548,86.56,123.51,-226.23,-16.16,-0.15,0.18,-0.06
549,102.12,105.45,-226.78,-19.21,-0.13,0.18,-0.07
550,116.57,89.04,-224.03,-18.43,-0.12,0.17,-0.08
551,126.57,70.98,-217.99,-20.44,-0.11,0.18,-0.09
552,141.02,51.28,-210.29,-17.99,-0.1,0.18,-0.1
553,154.36,29.94,-202.6,-18.3,-0.09,0.18,-0.11
554,167.14,8.05,-193.8,-18.61,-0.08,0.17,-0.11
555,179.92,-12.74,-185.56,-18.37,-0.07,0.17,-0.12
556,188.26,-30.8,-174.57,-17.1,-0.05,0.17,-0.13
557,193.82,-47.21,-163.57,-16.96,-0.04,0.17,-0.16
558,197.71,-61.98,-154.23,-18.5,-0.03,0.18,-0.18
559,202.71,-80.04,-139.39,-16.72,-0.03,0.19,-0.19
560,206.04,-100.29,-123.45,-17.69,-0.02,0.19,-0.2
561,211.05,-121.08,-106.96,-16.99,-0.01,0.17,-0.2
562,212.71,-139.14,-90.47,-16.89,0.01,0.16,-0.19
563,211.6,-152.82,-73.43,-14.64,0.03,0.14,-0.19
564,206.6,-165.4,-56.39,-15.19,0.05,0.12,-0.18
565,198.26,-176.89,-37.7,-16.33,0.06,0.1,-0.18
566,191.04,-188.38,-17.91,-15.25,0.07,0.09,-0.18
567,181.59,-199.87,2.43,-15.86,0.08,0.08,-0.17
568,173.26,-210.82,21.66,-15.9,0.09,0.07,-0.16
569,162.14,-219.57,41.45,-15.98,0.1,0.06,-0.16
570,151.03,-226.14,59.59,-15.52,0.11,0.04,-0.15
571,139.91,-231.61,74.98,-16.72,0.14,0.03,-0.16
572,128.8,-235.44,92.02,-14.62,0.16,0.01,-0.15
573,113.79,-235.99,106.31,-15.88,0.17,0.0,-0.15
574,95.45,-235.44,124.45,-15.54,0.18,-0.01,-0.15
575,77.11,-234.89,143.14,-14.64,0.18,-0.03,-0.13
576,58.77,-233.25,158.53,-15.95,0.18,-0.04,-0.11
577,40.99,-228.33,172.82,-14.52,0.17,-0.05,-0.08
578,23.21,-221.76,184.91,-13.64,0.17,-0.06,-0.06
579,4.87,-214.65,195.36,-14.42,0.16,-0.07,-0.05
580,-14.58,-203.7,205.25,-13.04,0.16,-0.08,-0.03
581,-34.04,-193.85,215.15,-12.74,0.16,-0.09,-0.02
582,-54.04,-182.91,224.49,-12.46,0.16,-0.1,-0.01
583,-74.05,-169.78,233.29,-10.54,0.15,-0.11,0.0
584,-93.5,-155.0,238.23,-10.27,0.14,-0.13,0.03
585,-110.17,-142.97,244.28,-8.86,0.15,-0.15,0.05
586,-126.84,-126.0,245.93,-6.92,0.14,-0.16,0.07
587,-145.18,-107.95,248.68,-4.46,0.14,-0.17,0.08
588,-164.63,-88.8,249.23,-4.21,0.13,-0.17,0.09
589,-182.42,-70.19,248.68,-3.93,0.12,-0.17,0.1
590,-197.98,-52.68,247.03,-3.63,0.1,-0.17,0.11
591,-211.32,-35.72,242.08,-4.96,0.09,-0.17,0.12
592,-223.54,-16.57,235.48,-4.63,0.08,-0.17,0.13
593,-235.77,3.13,227.79,-4.85,0.07,-0.16,0.14
594,-246.33,22.28,217.35,-6.7,0.06,-0.16,0.14
595,-257.44,40.34,206.9,-10.2,0.05,-0.15,0.15
596,-266.89,60.04,197.01,-9.85,0.03,-0.15,0.15
597,-274.12,78.64,183.82,-11.66,0.02,-0.14,0.16
598,-278.56,94.51,172.27,-11.78,0.01,-0.14,0.17
599,-282.45,108.73,159.63,-14.09,0.0,-0.15,0.19
600,-284.67,125.15,143.14,-16.38,-0.01,-0.14,0.2
601,-285.79,143.75,126.65,-15.38,-0.03,-0.13,0.2
602,-282.45,159.62,107.41,-15.42,-0.04,-0.11,0.19
603,-282.45,174.4,89.82,-18.23,-0.05,-0.1,0.18
604,-276.34,186.43,73.88,-16.02,-0.06,-0.09,0.17
605,-270.78,196.83,57.39,-16.56,-0.07,-0.07,0.16
606,-262.44,207.77,39.25,-15.42,-0.07,-0.07,0.15
607,-253.55,218.17,20.02,-15.37,-0.08,-0.06,0.14
608,-244.66,229.11,0.23,-15.32,-0.08,-0.05,0.14
609,-233.55,238.42,-18.46,-13.59,-0.09,-0.04,0.13
610,-222.43,244.98,-36.05,-13.5,-0.1,-0.02,0.12
611,-209.65,249.91,-53.09,-12.83,-0.1,-0.01,0.12
612,-196.87,253.19,-68.48,-12.16,-0.12,0.0,0.12
613,-186.86,255.38,-81.12,-12.61,-0.13,0.01,0.12
614,-171.3,256.47,-97.61,-12.44,-0.14,0.01,0.12
615,-155.74,257.57,-114.1,-12.28,-0.15,0.02,0.12
616,-137.96,256.47,-129.49,-10.98,-0.15,0.04,0.1
617,-119.06,249.91,-143.78,-12.94,-0.14,0.04,0.08
618,-102.95,243.34,-154.23,-13.83,-0.14,0.05,0.07
619,-86.28,235.68,-160.27,-10.87,-0.13,0.06,0.05
620,-70.16,225.83,-169.07,-13.4,-0.13,0.07,0.04
621,-52.38,215.43,-174.57,-11.51,-0.13,0.07,0.04
622,-35.15,202.85,-181.71,-14.01,-0.13,0.08,0.03
623,-16.25,190.81,-188.31,-13.75,-0.12,0.09,0.02
624,-0.14,178.77,-191.6,-12.97,-0.11,0.09,0.01
625,14.87,165.64,-192.7,-12.19,-0.12,0.1,0.0
626,21.54,156.89,-193.8,-15.38,-0.13,0.12,-0.02
627,34.88,145.4,-193.8,-13.53,-0.13,0.14,-0.03
628,48.77,132.81,-193.8,-12.22,-0.13,0.14,-0.04
629,59.33,122.41,-197.1,-15.36,-0.12,0.14,-0.04
630,72.67,110.92,-195.45,-11.86,-0.11,0.13,-0.04
631,78.78,104.36,-197.1,-13.96,-0.09,0.13,-0.06
632,82.11,96.15,-193.8,-15.54,-0.08,0.12,-0.07
633,84.34,86.85,-186.66,-15.47,-0.07,0.12,-0.08
634,87.67,74.81,-178.41,-15.93,-0.06,0.12,-0.09
635,91.01,61.68,-168.52,-15.84,-0.05,0.12,-0.09
636,94.34,48.0,-158.08,-15.74,-0.04,0.11,-0.1
637,95.45,35.41,-145.98,-15.12,-0.02,0.1,-0.1
638,93.23,25.56,-133.34,-14.55,-0.01,0.09,-0.1
639,87.67,19.0,-120.15,-13.48,0.0,0.1,-0.12
640,85.45,14.07,-113.0,-13.48,0.0,0.1,-0.12
641,85.45,4.77,-103.11,-12.89,0.0,0.11,-0.14
642,86.0,-8.36,-93.76,-16.12,0.0,0.11,-0.14
643,93.23,-22.04,-84.42,-13.23,0.01,0.1,-0.13
644,94.34,-34.08,-73.43,-13.17,0.02,0.08,-0.12
645,89.34,-40.64,-61.33,-12.64,0.03,0.06,-0.11
646,84.34,-43.38,-53.09,-12.13,0.04,0.04,-0.11
647,76.0,-44.47,-42.65,-11.12,0.05,0.03,-0.1
648,67.66,-47.76,-31.65,-11.75,0.05,0.03,-0.1
649,60.44,-53.78,-19.56,-12.9,0.05,0.03,-0.1
650,54.33,-60.89,-4.72,-11.28,0.05,0.03,-0.1
651,47.1,-68.0,8.47,-12.43,0.05,0.03,-0.09
652,36.54,-70.74,22.76,-11.43,0.06,0.02,-0.08
653,30.43,-71.29,31.56,-9.3,0.08,0.01,-0.09
654,22.65,-69.1,35.41,-11.04,0.09,0.0,-0.09
655,10.42,-69.1,45.3,-13.37,0.1,0.0,-0.09
656,-0.69,-64.72,54.09,-11.32,0.1,-0.02,-0.08
657,-11.25,-60.34,59.59,-12.0,0.1,-0.03,-0.06
658,-19.59,-54.87,63.44,-11.02,0.09,-0.04,-0.05
659,-26.26,-48.85,65.09,-10.02,0.09,-0.04,-0.03
660,-35.15,-41.74,64.54,-12.35,0.08,-0.05,-0.02
661,-43.48,-35.72,68.39,-10.82,0.08,-0.05,-0.02
662,-51.82,-29.7,70.04,-11.49,0.08,-0.05,-0.01
663,-61.27,-23.13,71.68,-12.72,0.07,-0.05,0.0
664,-70.71,-13.29,73.88,-10.12,0.07,-0.05,0.0
665,-79.61,-4.53,73.33,-10.8,0.06,-0.06,0.02
666,-82.39,1.49,72.23,-8.66,0.06,-0.08,0.03
667,-82.94,4.22,69.49,-9.23,0.08,-0.09,0.04
668,-86.28,9.15,65.09,-12.04,0.08,-0.1,0.04
669,-91.83,16.26,67.29,-8.28,0.09,-0.11,0.05
670,-97.95,21.73,64.54,-11.67,0.08,-0.12,0.06
671,-103.5,28.85,64.54,-10.12,0.08,-0.12,0.07
672,-106.84,33.77,62.34,-10.73,0.06,-0.12,0.08
673,-105.17,39.79,56.29,-9.09,0.05,-0.12,0.09
674,-102.39,45.26,48.05,-9.08,0.04,-0.11,0.1
675,-97.95,51.28,37.61,-9.06,0.04,-0.11,0.08
676,-100.17,59.49,31.56,-9.12,0.04,-0.1,0.08
677,-103.5,67.15,27.71,-8.64,0.04,-0.09,0.07
678,-106.84,73.72,22.21,-10.91,0.04,-0.09,0.07
679,-110.17,78.09,21.66,-10.41,0.03,-0.09,0.07
680,-110.17,80.83,19.47,-9.88,0.02,-0.08,0.09
681,-112.4,85.75,16.72,-9.92,0.0,-0.08,0.11
682,-109.62,88.49,11.22,-9.91,0.0,-0.09,0.12
683,-104.06,94.51,-0.87,-10.42,-0.01,-0.09,0.12
684,-101.84,100.53,-8.57,-9.88,-0.01,-0.08,0.12
685,-98.5,105.45,-16.26,-9.31,-0.01,-0.07,0.11
686,-97.39,107.64,-21.76,-11.51,-0.01,-0.06,0.1
687,-92.94,109.28,-26.16,-9.82,-0.02,-0.06,0.09
688,-90.17,108.19,-29.45,-11.43,-0.02,-0.05,0.09
689,-82.94,109.28,-35.5,-9.16,-0.03,-0.05,0.09
690,-77.38,109.28,-43.2,-11.3,-0.03,-0.05,0.09
691,-70.16,110.38,-49.79,-9.57,-0.03,-0.04,0.08
692,-64.6,111.47,-56.94,-10.07,-0.03,-0.03,0.07
693,-60.16,112.02,-61.88,-10.02,-0.04,-0.03,0.07
694,-60.71,109.28,-60.78,-12.21,-0.06,-0.02,0.08
695,-57.93,105.45,-57.49,-9.97,-0.08,-0.01,0.09
696,-49.04,102.72,-64.08,-10.41,-0.09,-0.01,0.09
697,-40.15,97.79,-67.38,-9.74,-0.09,-0.01,0.09
698,-34.04,96.7,-73.43,-10.77,-0.08,-0.01,0.09
699,-29.03,95.06,-77.27,-11.25,-0.08,-0.01,0.08
700,-29.59,93.41,-75.63,-11.8,-0.07,0.0,0.07
701,-28.48,92.32,-73.98,-10.14,-0.07,0.0,0.06
702,-27.92,86.85,-70.68,-11.75,-0.07,0.01,0.05
703,-24.03,80.83,-67.93,-11.13,-0.07,0.01,0.04
704,-19.03,74.26,-66.83,-11.6,-0.07,0.02,0.04
705,-13.47,67.7,-64.63,-10.41,-0.07,0.02,0.04
706,-10.69,62.77,-62.98,-10.91,-0.07,0.03,0.03
707,-9.58,57.85,-60.24,-11.97,-0.08,0.04,0.02
708,-14.58,61.68,-56.94,-9.84,-0.09,0.05,0.02
709,-14.03,58.39,-56.94,-12.57,-0.09,0.06,0.01
710,-11.81,57.3,-56.39,-10.89,-0.1,0.07,0.0
711,-6.25,51.28,-56.39,-11.35,-0.1,0.08,0.0
712,0.42,45.26,-55.84,-10.16,-0.09,0.07,0.0
713,3.75,39.79,-54.74,-11.19,-0.08,0.06,-0.01
714,3.75,38.15,-51.44,-9.54,-0.07,0.05,-0.01
715,1.53,37.6,-49.24,-10.11,-0.06,0.05,-0.01
716,-0.14,37.05,-47.59,-10.67,-0.06,0.05,-0.02
717,-0.14,34.32,-45.39,-11.21,-0.06,0.05,-0.02
718,2.64,29.39,-42.65,-10.61,-0.06,0.06,-0.03
719,5.98,25.02,-41.0,-10.0,-0.05,0.05,-0.03
720,7.64,21.19,-38.25,-9.42,-0.04,0.05,-0.04
721,7.09,21.73,-37.7,-8.88,-0.04,0.06,-0.06
722,5.42,24.47,-40.45,-10.56,-0.03,0.07,-0.08
723,3.75,23.92,-38.8,-11.12,-0.03,0.08,-0.09
724,3.75,21.19,-35.5,-10.56,-0.02,0.08,-0.1
725,4.31,15.71,-29.45,-9.43,-0.02,0.08,-0.1
726,4.31,10.24,-25.06,-10.5,-0.02,0.07,-0.1
727,4.31,8.6,-22.86,-9.95,-0.01,0.06,-0.09
728,3.75,9.15,-21.76,-8.86,0.0,0.05,-0.08
729,2.09,9.15,-20.11,-8.87,0.01,0.05,-0.08
730,-1.8,9.15,-17.36,-10.02,0.01,0.04,-0.08
731,-4.03,9.15,-14.06,-8.94,0.01,0.05,-0.08
732,-5.69,6.96,-11.32,-10.05,0.01,0.04,-0.08
733,-7.36,5.32,-7.47,-9.51,0.02,0.04,-0.07
734,-8.47,3.13,-1.97,-7.31,0.02,0.03,-0.07
735,-9.58,4.22,-3.62,-8.98,0.04,0.03,-0.07
736,-8.47,6.41,-6.92,-8.98,0.05,0.02,-0.07
737,-11.25,8.05,-5.82,-9.01,0.06,0.02,-0.08
738,-15.14,7.51,-4.17,-11.8,0.07,0.01,-0.08
739,-18.47,7.51,1.33,-9.64,0.07,0.01,-0.08
740,-23.48,9.15,5.72,-8.6,0.07,0.0,-0.07
741,-25.7,8.05,7.92,-9.72,0.06,0.0,-0.06
742,-24.59,8.6,9.02,-6.96,0.06,-0.01,-0.05
743,-28.48,10.24,9.02,-9.21,0.06,-0.01,-0.05
744,-31.81,12.43,10.12,-9.26,0.06,-0.01,-0.05
745,-36.26,15.71,12.32,-8.22,0.06,-0.01,-0.04
746,-37.93,17.9,12.32,-7.7,0.06,-0.02,-0.03
747,-41.26,19.54,13.42,-8.3,0.06,-0.03,-0.02
748,-41.26,19.54,13.97,-7.75,0.07,-0.04,-0.02
749,-40.15,19.54,11.77,-8.83,0.09,-0.06,-0.01
750,-41.82,21.19,11.22,-9.41,0.1,-0.08,-0.01
751,-45.15,25.56,12.32,-7.27,0.1,-0.09,0.0
752,-49.04,29.39,11.77,-7.88,0.1,-0.09,0.0
753,-50.15,33.77,9.02,-7.36,0.1,-0.09,0.01
754,-50.71,34.87,9.02,-6.82,0.09,-0.09,0.02
755,-50.15,37.05,5.17,-7.92,0.09,-0.09,0.02
756,-50.71,39.24,4.08,-7.39,0.09,-0.09,0.03
757,-53.49,43.07,3.53,-6.89,0.08,-0.09,0.03
758,-55.71,47.45,-0.32,-8.58,0.07,-0.09,0.04
759,-56.82,49.64,-1.97,-9.15,0.06,-0.08,0.04
760,-56.27,52.38,-3.62,-7.51,0.05,-0.08,0.05
761,-55.71,55.11,-8.02,-8.62,0.05,-0.08,0.05
762,-56.82,54.56,-8.57,-10.82,0.04,-0.09,0.07
763,-57.38,56.75,-6.37,-6.99,0.04,-0.1,0.09
764,-56.82,57.3,-10.77,-10.29,0.03,-0.1,0.1
765,-55.71,58.94,-12.96,-9.73,0.02,-0.1,0.11
766,-53.49,61.68,-17.36,-9.17,0.02,-0.1,0.12
767,-52.38,63.87,-20.66,-9.17,0.02,-0.1,0.11
768,-51.82,66.06,-22.31,-8.07,0.01,-0.09,0.1
769,-51.26,67.15,-25.61,-9.72,0.01,-0.09,0.1
770,-48.48,67.15,-27.26,-8.59,0.0,-0.08,0.1
771,-45.71,68.24,-30.55,-8.02,0.0,-0.08,0.1
772,-44.04,69.34,-35.5,-10.2,-0.01,-0.07,0.09
773,-41.26,71.53,-37.15,-6.88,-0.01,-0.07,0.09
774,-40.15,71.53,-39.9,-8.52,-0.02,-0.06,0.09
775,-37.93,71.53,-42.1,-8.5,-0.03,-0.06,0.09
776,-39.04,70.43,-40.45,-9.05,-0.05,-0.05,0.11
777,-38.48,69.34,-39.35,-8.49,-0.07,-0.05,0.12
778,-35.15,69.34,-42.65,-8.45,-0.08,-0.04,0.13
779,-29.59,67.7,-46.49,-8.39,-0.09,-0.04,0.12
780,-25.7,66.6,-50.34,-9.44,-0.08,-0.03,0.11
781,-24.59,65.51,-50.34,-9.42,-0.08,-0.03,0.11
782,-23.48,63.32,-48.69,-8.85,-0.09,-0.02,0.1
783,-20.14,61.13,-50.34,-9.35,-0.09,-0.02,0.09
784,-16.25,58.94,-51.44,-8.75,-0.09,-0.01,0.09
785,-11.81,56.21,-53.64,-9.24,-0.09,0.0,0.08
786,-7.92,54.56,-55.29,-8.64,-0.08,0.0,0.07
787,-6.25,52.38,-54.74,-8.61,-0.08,0.01,0.06
788,-5.14,50.73,-53.09,-7.49,-0.08,0.01,0.05
789,-3.47,49.64,-54.74,-8.57,-0.09,0.03,0.04
790,-5.69,50.73,-54.19,-9.15,-0.11,0.06,0.04
791,-3.47,47.45,-53.64,-9.66,-0.12,0.07,0.03
792,-0.14,43.62,-53.09,-9.6,-0.13,0.08,0.02
793,4.31,38.7,-51.44,-8.43,-0.12,0.08,0.01
794,4.31,35.96,-49.79,-9.52,-0.11,0.07,0.01
795,4.31,33.77,-47.59,-9.51,-0.11,0.07,0.0
796,5.98,31.04,-45.94,-8.93,-0.1,0.07,0.0
797,7.09,28.3,-43.75,-8.36,-0.1,0.07,0.0
798,8.76,24.47,-41.0,-7.77,-0.09,0.07,-0.01
799,12.65,20.64,-41.0,-7.71,-0.08,0.07,-0.02
800,13.2,18.45,-41.0,-9.34,-0.07,0.06,-0.03
801,11.54,15.71,-35.5,-8.25,-0.06,0.07,-0.04
802,10.98,14.62,-33.85,-8.25,-0.06,0.07,-0.05
803,10.98,15.71,-33.3,-6.61,-0.06,0.09,-0.07
804,10.98,15.17,-34.95,-8.8,-0.06,0.11,-0.09
805,10.98,12.98,-32.2,-8.24,-0.05,0.11,-0.11
806,11.54,8.6,-27.8,-7.67,-0.05,0.11,-0.11
807,9.87,5.87,-23.41,-7.67,-0.04,0.1,-0.11
808,7.64,6.41,-19.56,-5.5,-0.04,0.1,-0.11
809,5.42,6.96,-19.56,-7.18,-0.04,0.1,-0.11
810,3.2,6.41,-18.46,-8.85,-0.03,0.1,-0.11
811,2.64,4.77,-14.61,-7.2,-0.03,0.09,-0.11
812,-0.14,3.68,-10.77,-7.22,-0.02,0.09,-0.1
813,-2.36,1.49,-7.47,-8.34,-0.01,0.08,-0.1
814,-2.91,0.94,-4.72,-6.69,0.0,0.07,-0.09
815,-5.69,-0.15,-1.97,-7.82,0.01,0.06,-0.08
816,-6.8,0.39,0.23,-6.18,0.02,0.06,-0.08
817,-5.14,0.39,-1.97,-6.71,0.04,0.05,-0.1
818,-6.8,1.49,-2.52,-7.84,0.06,0.05,-0.11
819,-11.81,2.04,2.43,-7.34,0.07,0.04,-0.12
820,-15.14,2.58,4.63,-7.93,0.07,0.04,-0.12
821,-17.92,3.68,7.37,-6.87,0.07,0.03,-0.11
822,-20.14,5.32,8.47,-6.35,0.07,0.03,-0.1
823,-22.37,7.51,8.47,-6.39,0.07,0.02,-0.09
824,-25.7,8.6,7.92,-9.18,0.07,0.02,-0.09
825,-30.7,10.79,13.97,-5.94,0.07,0.01,-0.08
826,-32.92,12.98,13.42,-6.53,0.07,0.01,-0.07
827,-35.15,14.07,12.87,-8.2,0.07,0.0,-0.06
828,-37.37,16.26,14.52,-6.59,0.07,-0.01,-0.05
